index	episode	episode_name	segment	type	actor	character	detail	record_date	series	transmission_date
37	1	Episode One: Whither Canada?	Italian lesson	Dialogue		All	Sono Inglese di Gerrard's Cross.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
38	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	"Not too bad, now let's try it with somebody else. Er... Mr... ?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
39	1	Episode One: Whither Canada?	Italian lesson	Dialogue	John Cleese	Mariolini	Mariolini.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
40	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	"Ah, Mr Mariolini, and where are you from?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
41	1	Episode One: Whither Canada?	Italian lesson	Dialogue	John Cleese	Mariolini	"Napoli, signor."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
42	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	Ah ... you're an Italian.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
43	1	Episode One: Whither Canada?	Italian lesson	Dialogue	John Cleese	Mariolini	"Si, si signor!"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
44	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	Well in that case you would say: 'Sono Italiano di Napoli'.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
45	1	Episode One: Whither Canada?	Italian lesson	Dialogue	John Cleese	Mariolini	"Ah, capisco, mile grazie signor..."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
46	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Eric Idle	Francesco	"Per favore, signor!"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
47	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	Yes?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
48	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Eric Idle	Francesco	"Non conosgeve parliamente, signor devo me parlo sono Italiano di Napoli quando il habitare de Milano."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
49	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	I'm sorry ... I don't understand!	9/7/1969 0:00	1-Jan	10/5/1969 0:00
51	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Michael Palin	Giuseppe	My friend say 'Why must he say...'	9/7/1969 0:00	1-Jan	10/5/1969 0:00
53	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Graham Chapman	German	Bitte mein Herr. Was ist das Won für Mittelschmerz?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
54	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	Ah! Helmut - you want the German classes.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
55	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Graham Chapman	German	Oh ja! Danke schön.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
58	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Michael Palin	Giuseppe	"My friend he say, 'Why must I say I am Italian from Napoli when he lives in Milan?'"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
59	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	"Ah, I... well, tell your friend ... if he lives in Milan he must say 'Sono Italiano di Milano...'"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
61	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Eric Idle	Francesco	Eeeeeee! Milano è tanto meglio di Napoli. Milano è la citta la più bella di tutti ... nel mondo...	9/7/1969 0:00	1-Jan	10/5/1969 0:00
62	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Michael Palin	Giuseppe	He say 'Milan is better than Napoli'.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
63	1	Episode One: Whither Canada?	Italian lesson	Dialogue	Terry Jones	Teacher	"Oh, he shouldn't be saying that, we haven't done comparatives yet."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
67	1	Episode One: Whither Canada?	Whizzo butter				At the end of this animation we have an advertisement for Whizzo butter.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
69	1	Episode One: Whither Canada?	Whizzo butter	Dialogue	Terry Gilliam	Voice Over	"Yes, mothers, new improved Whizzo butter containing 10% more or less is absolutely indistinguishable from a dead crab. Remember, buy Whizzo butter and go to HEAVEN!"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
71	1	Episode One: Whither Canada?	Whizzo butter	Dialogue	Graham Chapman	First Pepperpot	I can't tell the difference between Whizzo butter and this dead crab.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
72	1	Episode One: Whither Canada?	Whizzo butter	Dialogue	Michael Palin	Interviewer	"Yes, you know, we find that nine out of ten British housewives can't tell the difference between Whizzo butter and a dead crab."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
73	1	Episode One: Whither Canada?	Whizzo butter	Dialogue		Pepperpots	"It's true, we can't. No."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
74	1	Episode One: Whither Canada?	Whizzo butter	Dialogue	John Cleese	Second Pepperpot	"Here. Here! You're on television, aren't you?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
76	1	Episode One: Whither Canada?	Whizzo butter	Dialogue	Michael Palin	Interviewer	"Yes, yes."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
77	1	Episode One: Whither Canada?	Whizzo butter	Dialogue	John Cleese	Second Pepperpot	He does the thing with one of those silly women who can't tell Whizzo butter from a dead crab.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
78	1	Episode One: Whither Canada?	Whizzo butter	Dialogue	Terry Jones	Third Pepperpot	"You try that around here, young man, and we'll slit your face."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
79	1	Episode One: Whither Canada?	It's the Arts				CAPTION: 'IT'S THE ARTS'	9/7/1969 0:00	1-Jan	10/5/1969 0:00
81	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Michael Palin	Linkman	Good evening and welcome to another edition of 'It's the Arts'. And we kick off this evening with the cinema.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
83	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Good evening. One of the most prolific film directors of this age, or indeed of any age, is Sir Edward Ross, back in his native country for the first time for five years to open a season of his works at the National Film Theatre, and we are very fortunate to have him with us in this studio this evening."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
84	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	Good evening.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
85	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Edward... you don't mind if I call you Edward?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
86	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"No, not at all."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
87	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Only it does worry some people - I don't know why...but they are a little sensitive so I take the precaution of asking on these occasions.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
88	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"No, no, no that's fine."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
89	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"So Edward's all right. Splendid. Splendid. I'm sorry to have brought it up, only eh..."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
90	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"No, no, please. Edward it is."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
91	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Well thank you very much for being so helpful...only it's more than my job's worth to...er...	9/7/1969 0:00	1-Jan	10/5/1969 0:00
92	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"Quite, yes."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
93	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Makes it rather difficult to establish a rapport ... to put the other person at his ease...	9/7/1969 0:00	1-Jan	10/5/1969 0:00
94	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	Quite.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
95	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Yes, silly little point but it does seem to matter. Still - less said the better. Uh...Ted...when you first started in...you don't mind if I call you Ted?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
96	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"No, no, no everyone calls me Ted."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
97	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Well it's shorter, isn't it."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
98	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	Yes it is.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
99	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Yes, and much less formal!"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
100	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"Yes, Ted, Edward, anything!"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
101	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Splendid, splendid. Incidentally, do call me Tom, I don't want you playing around with any of this 'Thomas' nonsense! Ha ha ha ha! Now where were we? Ah yes. Eddie-baby, when you first started in the..."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
102	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"I'm sorry, I'm sorry, but I don't like being called 'Eddie-baby'."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
103	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	I'm sorry?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
104	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	I don't like being called 'Eddie-baby'.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
105	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Did I call you 'Eddie-baby'?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
106	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"Yes, you did! Now get on with it."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
107	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	I don't think I did call you Eddie-baby.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
108	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	You did call me Eddie-baby.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
110	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Did I call him Eddie-baby?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
111	1	Episode One: Whither Canada?	It's the Arts	Dialogue		Voices	Yes. No. Yes.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
112	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"I didn't really call you Eddie-baby, did I, sweetie?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
113	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	Don't call me sweetie!!	9/7/1969 0:00	1-Jan	10/5/1969 0:00
114	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Can I call you sugar plum?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
115	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	No!	9/7/1969 0:00	1-Jan	10/5/1969 0:00
116	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Pussy cat?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
117	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	No.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
118	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Angel-drawers?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
119	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	No you may not! Now get on with it!	9/7/1969 0:00	1-Jan	10/5/1969 0:00
120	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Can I call you 'Frank'?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
121	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	Why Frank?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
122	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	It's a nice name. Robin Day's got a hedgehog called Frank.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
123	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	What is going on?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
124	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Frannie, little Frannie, Frannie Knickers..."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
126	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	No. I'm leaving. I'm leaving. I'm off...	9/7/1969 0:00	1-Jan	10/5/1969 0:00
127	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Tell us about your latest film, Sir Edward."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
129	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	What?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
130	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Tell us about your latest film, if you'd be so very kind, Sir Edward."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
131	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	None of this 'pussy cat' nonsense?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
132	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	Promise.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
134	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Please, Sir Edward."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
135	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	My latest film?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
136	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Yes, Sir Edward."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
137	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Graham Chapman	Ross	"Well the idea, funnily enough, came from an idea I had when I first joined the industry in 1919. Of course, in those days I was only the tea boy."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
138	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	"Oh,"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
139	1	Episode One: Whither Canada?	It's the Arts	Dialogue		Second Interviewer	shut	9/7/1969 0:00	1-Jan	10/5/1969 0:00
140	1	Episode One: Whither Canada?	It's the Arts	Dialogue	John Cleese	Second Interviewer	up.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
142	1	Episode One: Whither Canada?	It's the Arts	Dialogue	Michael Palin	Linkman	"Sir Edward...Ross. Now, later in the programme we will be bringing you a unique event in the world of modern art. Pablo Picasso will be doing a special painting for us, on this programme, live, on a bicycle. But right now it's time to look at a man whose meteoric rise to fame..."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
146	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	"Last week the Royal Festival Hall saw the first performance of a new symphony by one of the world's leading modern composers, Arthur 'Two Sheds' Jackson. Mr Jackson."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
147	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	Good evening.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
148	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	"May I just sidetrack for one moment. Mr. Jackson, this, what shall I call it, nickname of yours."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
149	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	Ah yes.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
150	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	'Two sheds'. How did you come by it?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
151	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	"Well, I don't use it myself, it's just a few of my friends call me 'Two Sheds'."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
152	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	"I see, and do you in fact have two sheds?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
153	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	"No. No, I've only one shed. I've had one for some time, but a few years ago I said I was thinking of getting another one, and since then some people have called me 'Two Sheds'."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
154	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	In spite of the fact that you only have one.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
155	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	Yes.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
156	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	"I see, and are you thinking of purchasing a second shed?"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
157	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	No!	9/7/1969 0:00	1-Jan	10/5/1969 0:00
158	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	To bring you in line with your epithet?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
159	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	No.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
160	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	"I see, I see. Well let's return to your symphony. Ah, now then, did you write this symphony..."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
161	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue		Third Interviewer	in	9/7/1969 0:00	1-Jan	10/5/1969 0:00
162	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	the shed?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
163	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	Have you written any of your recent works in this shed of yours?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
164	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	No it's just a perfectly ordinary garden shed.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
166	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	I see. And you're thinking of buying this second shed to write in.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
167	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	"No, no. Look. This shed business, it doesn't really matter at all, the sheds aren't important. It's just a few friends call me Two Sheds and that's all there is to it. I wish you'd ask me about my music. I'm a composer. People always ask me about the sheds, they've got it out of proportion, I'm fed up with the shed, I wish I'd never got it in the first place."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
168	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	I expect you are probably thinking of selling one.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
169	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	I will sell one.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
170	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	Then you'll be Arthur 'No Sheds' Jackson?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
171	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	"Look, forget about the sheds. They don't matter."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
172	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	"Mr. Jackson, I think, with respect, we ought to talk about your symphony."	9/7/1969 0:00	1-Jan	10/5/1969 0:00
173	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	What?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
174	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	Apparently your symphony was written for organ and tympani.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
176	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	What's that?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
177	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	What's what?	9/7/1969 0:00	1-Jan	10/5/1969 0:00
178	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	It's a shed. Get it off.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
180	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Terry Jones	Jackson	Right.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
181	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	Now then Mr. Jackson...your symphony.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
182	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue			"CAPTION: 'ARTHUR ""TWO SHEDS"" JACKSON'"	9/7/1969 0:00	1-Jan	10/5/1969 0:00
184	1	Episode One: Whither Canada?	Arthur 'Two-Sheds' Jackson	Dialogue	Eric Idle	Third Interviewer	I understand that you used to be interested in train-spotting.	9/7/1969 0:00	1-Jan	10/5/1969 0:00
